Nom,Indiquez l'intitulé de  l'établissement  ou de l'école,UAI,Nom Etablissement,Secteur,Nombre d’élèves concernés par cette opération,Dispositif du Programme Académique d'Action Culturelle auquel l'action est rattaché  (si existant),Votre action se rattache-t-elle à un dispositif ?,Acteurs Culturels
Prix BD des collégiens,collège André Brouillet Couhé (86700),0860014Y,Collège André Brouillet,Secteur Bande dessinée,25,Prix BD école collège lycée,Aucun,
La Grande Lessive,collège André Brouillet à Couhé,0860014Y,Collège André Brouillet,Arts plastiques,270,manifestation internationale,Aucun,
Collège au cinéma,collège André Brouillet à Couhé,0860014Y,Collège André Brouillet,"Secteur Cinéma - audiovisuel,Arts numériques",63,Ecolier collégien lycéen au cinéma,Aucun,Cinéma de Gençay
Prmeière partie du concert d'Ars Novas et Proxima Centauri,collège André Brouillet Couhé (86700),0860014Y,Collège André Brouillet,"Secteur Musique / Chant Choral,Secteur spectacle vivant",26,rencontre avec le TAP,"Ateliers de pratique artistique, scientifique...",Scène Nationale de Poitiers (TAP Poitiers)
"Collège au spectacle : ""lettres à Elise""",collège André Brouillet Couhé (86700),0860014Y,Collège André Brouillet,Secteur spectacle vivant,50,Collège au spectacle,EPI,La Comédie Poitou-Charentes
"collège au spectacle ""La dispute"", Marivaux",collège André Brouillet Couhé (86700),0860014Y,Collège André Brouillet,Secteur spectacle vivant,50,Collège au spectacle,Aucun,La Comédie Poitou-Charentes
"La chorale du collège, spectacle ""Human y Terre""",collège André Brouillet à Couhé,0860014Y,Collège André Brouillet,Secteur Musique / Chant Choral,25,Rencontres chorales,Chorale,
rallye et semaine des mathématiques,collège André Brouillet à Couhé,0860014Y,Collège André Brouillet,Secteur Culture Scientifique et Technique,270,concours académique,"Ateliers de pratique artistique, scientifique...",
"""Il n'est pas encore minuit"", compagnie XY (arts de la piste)",collège André Brouillet Couhé (86700),0860014Y,Collège André Brouillet,"Secteur spectacle vivant,cirque",14,classe culturelle du TAP,Classe à option artistique,Scène Nationale de Poitiers (TAP Poitiers)
Cuvée des arts,collège André Brouillet à Couhé,0860014Y,Collège André Brouillet,Arts plastiques,40,découverte de l'art contemporain,"Ateliers de pratique artistique, scientifique...",
"EPI ""talk show""",collège André Brouillet Couhé (86700),0860014Y,Collège André Brouillet,"Création numérique,culture anglo-saxonne",60,aucun,EPI,
rencontre autour des fables,collège André Brouillet Couhé (86700),0860014Y,Collège André Brouillet,"Secteur spectacle vivant,Patrimoine et archéologie",25,liaison école-collège,Aucun,
Maths en musique avec Pythagore,collège André Brouillet à Couhé,0860014Y,Collège André Brouillet,"Secteur Musique / Chant Choral,Secteur Culture Scientifique et Technique",24,EPI,EPI,
