numero_uai,appellation_officielle,denomination_principale,patronyme_uai,secteur_public_prive_libe,adresse_uai,lieu_dit_uai,boite_postale_uai,code_postal_uai,localite_acheminement_uai,lieu_complet,latitude,longitude,Actions EAC,Actions
0860002K,Collège Romain Rolland,COLLEGE,ROMAIN ROLLAND,Public,ROUTE DE CHATAIN,,,86250,CHARROUX,"ROUTE DE CHATAIN, 86250 CHARROUX",46.140544,0.4054,,
0860014Y,Collège André Brouillet,COLLEGE,ANDRE BROUILLET,Public,2 RUE SWAFFHAM,,,86700,COUHE,"2 RUE SWAFFHAM, 86700 COUHE",46.301721,0.187343,"Prix BD des collégiens,La Grande Lessive,Collège au cinéma,Prmeière partie du concert d'Ars Novas et Proxima Centauri,""Collège au spectacle : """"lettres à Elise"""""",""collège au spectacle """"La dispute"""", Marivaux"",""La chorale du collège, spectacle """"Human y Terre"""""",rallye et semaine des mathématiques,""""""Il n'est pas encore minuit"""", compagnie XY (arts de la piste)"",Cuvée des arts,""EPI """"talk show"""""",rencontre autour des fables,Maths en musique avec Pythagore,formation des délégués,visite d'Oradour-sur-Glane,sortie d'intégration 6è - visites de musées et atelier à la maison de l'architecture (Poitiers),""collège au spectacle """"Big Bang"""""",Journée de Mathématiques CM2-6e,La symétrie de la Grèce antique à nos jours,""""""Non au harcèlement""""""","Prix BD des collégiens,La Grande Lessive,Collège au cinéma,Prmeière partie du concert d'Ars Novas et Proxima Centauri,""Collège au spectacle : """"lettres à Elise"""""",""collège au spectacle """"La dispute"""", Marivaux"",""La chorale du collège, spectacle """"Human y Terre"""""",rallye et semaine des mathématiques,""""""Il n'est pas encore minuit"""", compagnie XY (arts de la piste)"",Cuvée des arts,""EPI """"talk show"""""",rencontre autour des fables,Maths en musique avec Pythagore,formation des délégués,visite d'Oradour-sur-Glane,sortie d'intégration 6è - visites de musées et atelier à la maison de l'architecture (Poitiers),""collège au spectacle """"Big Bang"""""",Journée de Mathématiques CM2-6e,La symétrie de la Grèce antique à nos jours,""""""Non au harcèlement"""""""
0860015Z,Collège Bellevue,COLLEGE,BELLEVUE,Public,31 RUE DU COLLEGE,,,86220,DANGE ST ROMAIN,"31 RUE DU COLLEGE, 86220 DANGE ST ROMAIN",46.931126,0.602482,,
0860016A,Collège Jean Jaurès,COLLEGE,JEAN JAURES,Public,19 RUE DES PLANTES,,12,86160,GENCAY,"19 RUE DES PLANTES, 86160 GENCAY",46.366969,0.409788,""""""" Human y terre""""
Chorale du collège dans le cadre des rencontres Atout choeur""",""""""" Human y terre""""
Chorale du collège dans le cadre des rencontres Atout choeur"""
0860017B,Collège René Cassin,COLLEGE,RENE CASSIN,Public,AVENUE 8 DE BEL AIR,,,86150,L ISLE JOURDAIN,"AVENUE 8 DE BEL AIR, 86150 L ISLE JOURDAIN",46.227782,0.68782,"Bateaux Pop-Pop,La santé à table,Dis-moi 10 mots.,Les défis du Futuroscope,le Rectorat et la Centrale de Civaux ,""Echange avec un établissement étranger, accueil de correspondants."",Atelier jeu sérieux (Minetest),Atelier Journal,Chante l'enfance.,Atelier instrumental Pop-Rock,""A Chœur, A corps"",""A Chœur, A corps"",""Musicalité de la langue (slam)
Concourt coupe la ligue Slam de france (Bordeaux Juin 2017, finaliste)"",""Séjour linguistique et culturel à Londres
(Visite Royal Albert Hall avec répétition musicale, Musée d'art contemporain 'Tate Modern"""")"",""Sortie """"Lieux culturels"""" de Poitiers."",Prix du roman contemporain (TAP Poitiers)","Bateaux Pop-Pop,La santé à table,Dis-moi 10 mots.,Les défis du Futuroscope,le Rectorat et la Centrale de Civaux ,""Echange avec un établissement étranger, accueil de correspondants."",Atelier jeu sérieux (Minetest),Atelier Journal,Chante l'enfance.,Atelier instrumental Pop-Rock,""A Chœur, A corps"",""A Chœur, A corps"",""Musicalité de la langue (slam)
Concourt coupe la ligue Slam de france (Bordeaux Juin 2017, finaliste)"",""Séjour linguistique et culturel à Londres
(Visite Royal Albert Hall avec répétition musicale, Musée d'art contemporain 'Tate Modern"""")"",""Sortie """"Lieux culturels"""" de Poitiers."",Prix du roman contemporain (TAP Poitiers)"
0860019D,Collège Arthur Rimbaud,COLLEGE,ARTHUR RIMBAUD,Public,68 RUE DU DOCTEUR ROUX,,,86190,LATILLE,"68 RUE DU DOCTEUR ROUX, 86190 LATILLE",46.618081,0.076141,"Chorale,Création d'un jeu vidéo à partir de récits mythologiques concernant la création du monde,Circus School,Danse avec le tableau ,COLLEGE AU CINEMA,Danse avec le tableau ,Autour des masques,Langues et cultures de l'Antiquité,Regard contemporain sur Les Misérables,Un quatuor au collège,""Spectacle 'Enivrez-vous"""""",Concert musiques actuelles,""Concert percussions corporelles """"Zou!"""""",Club danse","Chorale,Création d'un jeu vidéo à partir de récits mythologiques concernant la création du monde,Circus School,Danse avec le tableau ,COLLEGE AU CINEMA,Danse avec le tableau ,Autour des masques,Langues et cultures de l'Antiquité,Regard contemporain sur Les Misérables,Un quatuor au collège,""Spectacle 'Enivrez-vous"""""",Concert musiques actuelles,""Concert percussions corporelles """"Zou!"""""",Club danse"
0860020E,Collège Arsène Lambert,COLLEGE,ARSENE LAMBERT,Public,6 RUE DU STADE,,,86140,LENCLOITRE,"6 RUE DU STADE, 86140 LENCLOITRE",46.820095,0.334465,"Collège au cinéma.,Réalisation vitraux sur la devise républicaine,Vendée Globe (réalisation exposition),EPI Slam,JMF,Arts du cirque,Chorale,Concours Rallye latin,Prix du roman contemporain,Concours bi challenge,Concours Faites la Une,Semaine des langues,Collège au cinéma","Collège au cinéma.,Réalisation vitraux sur la devise républicaine,Vendée Globe (réalisation exposition),EPI Slam,JMF,Arts du cirque,Chorale,Concours Rallye latin,Prix du roman contemporain,Concours bi challenge,Concours Faites la Une,Semaine des langues,Collège au cinéma"
0860023H,Collège Joachim du Bellay,COLLEGE,JOACHIM DU BELLAY,Public,9 RUE DES ROCHES,,30071,86206,LOUDUN CEDEX,"9 RUE DES ROCHES, 86206 LOUDUN CEDEX",47.015108,0.090554,"Arts du cirque,JMF,Collège au cinéma,Festival Tolérance et solidarité à Loudun,Festival de la BD Angoulême,Voyage à Paris,Chant Choral: au delà des frontières,Concours Mangawa,Antigone Héritages","Arts du cirque,JMF,Collège au cinéma,Festival Tolérance et solidarité à Loudun,Festival de la BD Angoulême,Voyage à Paris,Chant Choral: au delà des frontières,Concours Mangawa,Antigone Héritages"
0860026L,Collège Louise Michel,COLLEGE,LOUISE MICHEL,Public,12 RUE DE LA COUTURE,,19,86320,LUSSAC LES CHATEAUX,"12 RUE DE LA COUTURE, 86320 LUSSAC LES CHATEAUX",46.400995,0.719106,"""""""C'est à propos d'un trésor..."""""",""""""C'est à propos d'un trésor..."""""",""""""A propos d'un trésor..."""""",Atelier sur la préhistoire","""""""C'est à propos d'un trésor..."""""",""""""C'est à propos d'un trésor..."""""",""""""A propos d'un trésor..."""""",Atelier sur la préhistoire"
0860027M,Collège Georges David,COLLEGE,GEORGES DAVID,Public,8 PLACE DU 8 MAI 1945,,,86110,MIREBEAU,"8 PLACE DU 8 MAI 1945, 86110 MIREBEAU",46.787508,0.183397,"Cardiff-Londres,""Projet liaison CM2-6ème, Pougne Hérisson, le Nombril du Monde, Contes et légendes"",Réserve naturelle Le Pinail : découverte de deux écosystèmes aquatiques,""Projet Tara, un voilier pour la planète"",Prix du Roman Contemporain,""Chorale  salle de spectacle La Hune : """"Aimer les gens énormément!"""""",""Ferme de M Berquin à Noiron, commune de Varennes : développement des êtres vivants, production de matière organique."",Usine de biocarburant à Challandray.,CANOPE SITE DU FUTUROSCOPE.,Office de Tourisme de Mirebeau.,""Visionnage du film """"Loving"""" de Jeff Nichols dans la continuité d'un travail sur la ségrégation aux USA et la lutte pour les droits civiques des Noirs Américains."",Répétition chorale,""Liaison CM2-6ème, Bois de Luché."",Répétition de l'Orchestre Poitou-Charentes TAP Poitiers.,""Spectacle salle spectacle Le Majestic, Neuville, initiation à la mise en chanson de poèmes : Baudelaire."",""EHPAD Mirebeau, rencontrer les personnes âgées, chanter des chansons anciennes et faire des cartes postales sonores."",""Rencontre d'un réalisateur dans le cadre de l'atelier critique, TAP Castille Poitiers."",La Puebla de Almoradiel et Villa de Don Fabrique (Toledo) en Espagne.,THEATRE DON QUICHOTTE CAP SUD POITIERS.,Liaison CM2 6° autour de la thématique du monstre en Arts et Littérature.,Les bruits de la ville.,Intervention d'une chanteuse-bruiteuse.,Création d'un représentation théatrale : Hamlet,""Création d'un représentation théatrale : MacBeth, Shakespeare."",Création d'un représentation théatrale LCA/Documentation : Molière et le théâtre antique","Cardiff-Londres,""Projet liaison CM2-6ème, Pougne Hérisson, le Nombril du Monde, Contes et légendes"",Réserve naturelle Le Pinail : découverte de deux écosystèmes aquatiques,""Projet Tara, un voilier pour la planète"",Prix du Roman Contemporain,""Chorale  salle de spectacle La Hune : """"Aimer les gens énormément!"""""",""Ferme de M Berquin à Noiron, commune de Varennes : développement des êtres vivants, production de matière organique."",Usine de biocarburant à Challandray.,CANOPE SITE DU FUTUROSCOPE.,Office de Tourisme de Mirebeau.,""Visionnage du film """"Loving"""" de Jeff Nichols dans la continuité d'un travail sur la ségrégation aux USA et la lutte pour les droits civiques des Noirs Américains."",Répétition chorale,""Liaison CM2-6ème, Bois de Luché."",Répétition de l'Orchestre Poitou-Charentes TAP Poitiers.,""Spectacle salle spectacle Le Majestic, Neuville, initiation à la mise en chanson de poèmes : Baudelaire."",""EHPAD Mirebeau, rencontrer les personnes âgées, chanter des chansons anciennes et faire des cartes postales sonores."",""Rencontre d'un réalisateur dans le cadre de l'atelier critique, TAP Castille Poitiers."",La Puebla de Almoradiel et Villa de Don Fabrique (Toledo) en Espagne.,THEATRE DON QUICHOTTE CAP SUD POITIERS.,Liaison CM2 6° autour de la thématique du monstre en Arts et Littérature.,Les bruits de la ville.,Intervention d'une chanteuse-bruiteuse.,Création d'un représentation théatrale : Hamlet,""Création d'un représentation théatrale : MacBeth, Shakespeare."",Création d'un représentation théatrale LCA/Documentation : Molière et le théâtre antique"
