0160001P,4
0160024P,13
0160029V,20
0160030W,9
0160039F,4
0160042J,7
0160043K,16
0160094R,3
0160113L,18
0160115N,5
0160117R,6
0160863B,18
0160864C,11
0160867F,1
0160882X,1
0160895L,14
0160944P,1
0161075G,1
0161106R,15
0170005N,12
0170007R,9
0170008S,23
0170010U,4
0170011V,12
0170016A,1
0170016A,26
0170047J,17
0170048K,1
0170048K,3
0170049L,1
0170049L,10
0170050M,6
0170072L,7
0170076R,8
0170077S,1
0170081W,49
0170082X,6
0170088D,1
0170144P,27
0170388E,4
0170389F,12
0171034G,18
0171056F,14
0171057G,25
0171122C,15
0171129K,14
0171159T,14
0171160U,25
0171210Y,1
0171211Z,1
0171211Z,13
0171213B,4
0790003Z,9
0790011H,3
0790013K,11
0790016N,17
0790017P,3
0790020T,6
0790021U,3
0790028B,6
0790030D,22
0790032F,2
0790033G,12
0790034H,3
0790052C,17
0790089T,1
0790091V,11
0790698C,1
0790698E,5
0790710T,6
0790929F,6
0860014Y,20
0860016A,1
0860017B,16
0860020E,13
0860023H,9
0860026L,4
0860027M,25
0860032T,3
0860044F,14
0860045G,23
0860048K,18
0860049L,17
0860053R,12
0860076R,22
0860079D,14
0860723U,29
0860792U,23
0860799B,16
0860984C,4
0861071X,8
0861092V,4
